,PROPERTY_ID,PROPERTY_NAME,PROPERTY_ADDRESS,PROPERTY_CITY,COUNTY_NAME,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,Impr_Rating,Loc_Rating,Property_Overall_Rating,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Fractured_Condo,Adaptive_Reuse,Single_Family_Rental,Mixed_Use,sqft_mixed_use
4835,71_1108990,Avalon Midtown,1719 Hayes Street,Nashville,Davidson,TN,37203,36.153811,-86.796392,304,0,,B-,Prospective,,,,,,,,,,TRUE,"Includes 32,500 Square Feet of Office and 96,000 Square Feet of Retail",,Low Mid-Range,,,,,,,,,1,128500
4836,71_1108994,5554 Crossings Blvd,5554 Crossings Blvd,Antioch,Davidson,TN,37013,36.04242538,-86.64698686,550,0,,C+,Prospective,,,,,,,,,,TRUE,"Includes 35,000 Square Feet of Retail",,Workforce,,,,,,,,,1,35000
4837,71_111,"Crossings of Bellevue, The",1 Club Pkwy,Nashville,Davidson,TN,37221,36.077224,-86.928294,300,259390,B+,C+,Completed,N,N,N,N,,,,96.7,1341,FALSE,,High Mid-Range,Workforce,,0,0,0,0,,,,0,0
4838,71_1110881,Modera Gulch,810 Division Street,Nashville,Davidson,TN,37203,36.150293,-86.780187,378,0,,B,Planned,,,,,,,,,,TRUE,"Includes 18,000 Square Feet of Retail",,Low Mid-Range,,,,,,,,,1,18000
4839,71_1111003,Waterleaf at Old Franklin,2901 Old Franklin Road,Antioch,Davidson,TN,37013,36.034948,-86.637853,364,327136,,C+,Under Construction,N,N,N,N,,,,,1714,FALSE,,,Workforce,,0,0,0,0,,,,0,0
4840,71_1128232,Modera - Germantown,1420 Adams Street,Nashville,Davidson,TN,37208,36.182568,-86.784108,400,0,,B-,Under Construction,N,,N,N,,,,,,FALSE,,,Low Mid-Range,,0,,0,0,,,,0,0
4841,71_1129857,Taylor Place,602 Taylor Street,Nashville,Davidson,TN,37208,36.17791,-86.792435,330,0,,C+,Planned,,,,,,,,,,,,,Workforce,,,,,,,,,,0
4842,71_1140013,Northtown Gardens,Nonaville Road & Searcy Road,Mount Juliet,Wilson,TN,37122,36.23598,-86.531738,360,0,,B,Under Construction,,,,,,,,,,,,,Low Mid-Range,,,,,,,,,,0
4843,71_1140064,First Horizon Park,3rd Avenue North & Harrison Street,Nashville,Davidson,TN,37201,36.171184,-86.782262,336,0,,B-,Prospective,,,,,,,,,,,,,Low Mid-Range,,,,,,,,,,0
4844,71_1140184,State Street Development,1600 State Street,Nashville,Davidson,TN,37203,36.157862,-86.795061,292,0,,C+,Prospective,,,,,,,,,,,,,Workforce,,,,,,,,,,0
